Date,Min,Mean,Peak
2003-05-01,4281,5643.291666666667,6447
2003-05-02,4223,5535.291666666667,6318
2003-05-03,4036,4823.083333333333,5435
2003-05-04,3893,4621.75,5291
2003-05-05,4075,5673.375,6629
2003-05-06,4314,5667.25,6412
2003-05-07,4258,5659,6441
2003-05-08,4258,5587,6380
2003-05-09,4153,5453.5,6340
2003-05-10,3966,4781.625,5343
2003-05-11,3822,4671.25,5281
2003-05-12,4006,5575.541666666667,6415
2003-05-13,4295,5681.5,6448
2003-05-14,4378,5580.458333333333,6317
2003-05-15,4206,5565.125,6317
2003-05-16,4182,5552.166666666667,6476
2003-05-17,3995,4653.625,5150
2003-05-18,3685,4335.375,4774
2003-05-19,3642,4451.75,5162
2003-05-20,3873,5550.083333333333,6552
2003-05-21,4236,5541.958333333333,6257
2003-05-22,4253,5539.791666666667,6254
2003-05-23,4250,5503.833333333333,6366
2003-05-24,4048,4820.666666666667,5471
2003-05-25,3784,4581.708333333333,5207
2003-05-26,4006,5469.958333333333,6286
2003-05-27,4190,5536.041666666667,6346
2003-05-28,4183,5631.166666666667,6516
2003-05-29,4211,5648.5,6561
2003-05-30,4183,5542.833333333333,6446
2003-05-31,3974,4807.083333333333,5352
2003-06-01,3800,4605.625,5263
2003-06-02,4072,5512.25,6352
2003-06-03,4171,5432.166666666667,6179
2003-06-04,4105,5551.166666666667,6463
2003-06-05,4189,5622.791666666667,6418
2003-06-06,4264,5630.291666666667,6516
2003-06-07,4091,4885.833333333333,5453
2003-06-08,3799,4697.916666666667,5408
2003-06-09,4001,5525.041666666667,6448
2003-06-10,4104,5515.708333333333,6405
2003-06-11,4092,5694.916666666667,6755
2003-06-12,4158,5583.583333333333,6460
2003-06-13,4195,5559.791666666667,6431
2003-06-14,4005,4891.333333333333,5459
2003-06-15,3792,4761.125,5357
2003-06-16,4004,5674.375,6780
2003-06-17,4175,5805.458333333333,6969
2003-06-18,4300,5962.5,7056
2003-06-19,4448,5783,6653
2003-06-20,4126,5590.333333333333,6563
2003-06-21,3952,4932.041666666667,5656
2003-06-22,3842,5089.75,5995
2003-06-23,4359,6543.75,7961
2003-06-24,4741,6940.666666666667,8474
2003-06-25,5193,7548.958333333333,9121
2003-06-26,5630,7589.458333333333,9069
2003-06-27,5106,6364.125,7255
2003-06-28,4266,5234.375,5960
2003-06-29,4031,5054.708333333333,5883
2003-06-30,3978,5359.083333333333,6254
2003-07-01,4033,5460.25,6391
2003-07-02,4351,6475.375,7997
2003-07-03,4659,6898.208333333333,8433
2003-07-04,5139,7182.666666666667,8582
2003-07-05,5018,6421.708333333333,7655
2003-07-06,4443,5984.416666666667,7112
2003-07-07,4914,6526.958333333333,7573
2003-07-08,4849,6808.708333333333,8227
2003-07-09,4810,6521.291666666667,7822
2003-07-10,4616,5916.375,6818
2003-07-11,4432,5810.041666666667,6974
2003-07-12,4075,4854.708333333333,5481
2003-07-13,3826,5021.541666666667,5836
2003-07-14,4268,6293.75,7610
2003-07-15,4585,6366.958333333333,7586
2003-07-16,4677,5958.25,6915
2003-07-17,4319,6209.708333333333,7623
2003-07-18,4596,6098.083333333333,7222
2003-07-19,4086,5228.458333333333,6014
2003-07-20,3944,4917.666666666667,5511
2003-07-21,4192,5887.875,6909
2003-07-22,4474,6099.083333333333,7259
2003-07-23,4479,6243.916666666667,7410
2003-07-24,4599,6323.333333333333,7467
2003-07-25,4509,6383.625,7716
2003-07-26,4528,5554.458333333333,6527
2003-07-27,4399,5526.166666666667,6552
2003-07-28,4333,6107.333333333333,7298
2003-07-29,4379,6231.625,7497
2003-07-30,4522,6437.25,7833
2003-07-31,4690,6391.541666666667,7589
2003-08-01,4744,6359.166666666667,7642
2003-08-02,4411,5226.625,5835
2003-08-03,4087,4999.875,5595
2003-08-04,4182,5594.458333333333,6700
2003-08-05,4615,6449.208333333333,7819
2003-08-06,4765,6429.583333333333,7701
2003-08-07,4731,6683.833333333333,8080
2003-08-08,4891,6703.583333333333,8020
2003-08-09,4594,5833.875,6792
2003-08-10,4403,5683.125,6630
2003-08-11,4746,6593.375,7903
2003-08-12,4802,6690.416666666667,8017
2003-08-13,4999,7242.125,8780
2003-08-14,77,4659.583333333333,8857
2003-08-15,929,4157.291666666667,5928
2003-08-16,4496,5578.958333333333,6462
2003-08-17,4020,5020.083333333333,5790
2003-08-18,4078,5757.958333333333,6865
2003-08-19,4325,5969.083333333333,7082
2003-08-20,4515,6145.75,7196
2003-08-21,4745,6450.208333333333,7639
2003-08-22,4944,6156.666666666667,7084
2003-08-23,4270,5050.333333333333,5714
2003-08-24,3768,4737.5,5414
2003-08-25,4267,6339.791666666667,7759
2003-08-26,4808,6573.375,7923
2003-08-27,4708,6269.166666666667,7495
2003-08-28,4358,5840.041666666667,6862
2003-08-29,4418,6146.5,7602
2003-08-30,4060,4810.333333333333,5309
2003-08-31,3712,4486.208333333333,5044
2003-09-01,3689,4610.5,5409
2003-09-02,4046,5776.25,6864
2003-09-03,4368,5970.833333333333,7022
2003-09-04,4395,5811.625,6784
2003-09-05,4263,5656.25,6599
2003-09-06,3950,4931.25,5566
2003-09-07,3835,4974.208333333333,5925
2003-09-08,4224,5809.625,6900
2003-09-09,4172,5757.791666666667,6808
2003-09-10,4234,5941.208333333333,7096
2003-09-11,4351,6108.916666666667,7335
2003-09-12,4494,6074.083333333333,7255
2003-09-13,4222,5322.666666666667,6148
2003-09-14,4174,5266.541666666667,6121
2003-09-15,4437,5981.375,7072
2003-09-16,4167,5703.041666666667,6685
2003-09-17,4153,5816.291666666667,6885
2003-09-18,4273,5805.458333333333,6761
2003-09-19,4318,5765.291666666667,6756
2003-09-20,3993,4869.25,5520
2003-09-21,3703,4624.041666666667,5392
2003-09-22,3975,5635.083333333333,6618
2003-09-23,4146,5535,6337
2003-09-24,4030,5574.083333333333,6449
2003-09-25,4185,5538.583333333333,6294
2003-09-26,4088,5419.125,6250
2003-09-27,3977,4874.083333333333,5659
2003-09-28,3629,4565.958333333333,5365
2003-09-29,3912,5420.041666666667,6213
2003-09-30,4089,5456.041666666667,6262
2003-10-01,4110,5513,6391
2003-10-02,4234,5597.25,6336
2003-10-03,4367,5653.833333333333,6400
2003-10-04,4113,4942.333333333333,5513
2003-10-05,4002,4831.5,5583
2003-10-06,4230,5630.708333333333,6455
2003-10-07,4328,5634.291666666667,6397
2003-10-08,4194,5652.583333333333,6493
2003-10-09,4191,5712.666666666667,6600
2003-10-10,4176,5559.708333333333,6444
2003-10-11,3907,4658.583333333333,5236
2003-10-12,3568,4338.5,4950
2003-10-13,3508,4408.666666666667,5204
2003-10-14,3782,5415.875,6447
2003-10-15,4037,5440.416666666667,6309
2003-10-16,4112,5526.458333333333,6358
2003-10-17,4155,5495.666666666667,6216
2003-10-18,4039,4910.333333333333,5512
2003-10-19,3845,4736.041666666667,5566
2003-10-20,4103,5548.666666666667,6430
2003-10-21,4184,5628.833333333333,6500
2003-10-22,4298,5703.583333333333,6598
2003-10-23,4406,5771.125,6596
2003-10-24,4383,5599.875,6301
2003-10-25,4093,4987.125,5640
2003-10-26,3834,4842.791666666667,5786
2003-10-27,4125,5609.458333333333,6643
2003-10-28,4359,5690.083333333333,6705
2003-10-29,4258,5638.291666666667,6592
2003-10-30,4361,5701.416666666667,6669
2003-10-31,4347,5495.375,6252
2003-11-01,4339,4989.041666666667,5782
2003-11-02,4247,5007.125,5921
2003-11-03,4145,5693.416666666667,7015
2003-11-04,4398,5894.125,7015
2003-11-05,4395,5772.541666666667,6778
2003-11-06,4433,5798.625,6827
2003-11-07,4439,5749.833333333333,6680
2003-11-08,4453,5259.125,6039
2003-11-09,4283,5055.583333333333,5988
2003-11-10,4379,5797.25,6876
2003-11-11,4398,5823,6907
2003-11-12,4296,5721.583333333333,6857
2003-11-13,4388,6026.625,7221
2003-11-14,4806,6071.541666666667,6986
2003-11-15,4498,5348.916666666667,6159
2003-11-16,4139,5119.125,6116
2003-11-17,4372,5878.875,7048
2003-11-18,4511,5872.208333333333,6941
2003-11-19,4372,5865,6935
2003-11-20,4481,5842.5,6857
2003-11-21,4423,5718.25,6613
2003-11-22,4281,5205.958333333333,6059
2003-11-23,4024,4899.708333333333,5941
2003-11-24,4161,5880.458333333333,7043
2003-11-25,4867,6151.708333333333,7072
2003-11-26,4798,6095.708333333333,7059
2003-11-27,4737,6083.916666666667,7130
2003-11-28,4465,5977.833333333333,7001
2003-11-29,4510,5398.916666666667,6225
2003-11-30,4209,5145.125,6171
2003-12-01,4426,6039.5,7300
2003-12-02,4789,6270.708333333333,7526
2003-12-03,4950,6323.708333333333,7452
2003-12-04,4865,6212.208333333333,7283
2003-12-05,4755,6238.625,7292
2003-12-06,4735,5686.166666666667,6591
2003-12-07,4638,5496.125,6562
2003-12-08,4774,6290.75,7663
2003-12-09,4790,6258.75,7459
2003-12-10,4715,6132.958333333333,7302
2003-12-11,4633,6208.375,7480
2003-12-12,4846,6287.75,7374
2003-12-13,4816,5721.833333333333,6662
2003-12-14,4536,5605.791666666667,6702
2003-12-15,4663,6229.291666666667,7462
2003-12-16,4737,6138.458333333333,7315
2003-12-17,4660,6215.5,7465
2003-12-18,4831,6293.375,7437
2003-12-19,4867,6245.791666666667,7266
2003-12-20,4697,5685.458333333333,6652
2003-12-21,4539,5367.208333333333,6366
2003-12-22,4513,5910.916666666667,6986
2003-12-23,4375,5815.125,6786
2003-12-24,4167,5204,6023
2003-12-25,3892,4660.583333333333,5364
2003-12-26,3939,4694,5601
2003-12-27,3940,4789.291666666667,5731
2003-12-28,3963,4712.416666666667,5686
2003-12-29,3895,5264.166666666667,6372
2003-12-30,4016,5369.5,6487
2003-12-31,4142,5124.791666666667,5978
2004-01-01,3966,4651.541666666667,5528
2004-01-02,4023,5150.583333333333,6160
2004-01-03,4005,4904.208333333333,5809
2004-01-04,3988,5058.125,6269
2004-01-05,4578,6199.958333333333,7387
2004-01-06,4879,6416.708333333333,7642
2004-01-07,5165,6638.333333333333,7772
2004-01-08,5193,6609.958333333333,7740
2004-01-09,5433,6849.833333333333,7878
2004-01-10,5459,6282.125,7129
2004-01-11,5057,5881.125,6847
2004-01-12,4909,6346.875,7450
2004-01-13,4913,6514.583333333333,7807
2004-01-14,5516,6989.416666666667,8060
2004-01-15,5674,7065.666666666667,8213
2004-01-16,5785,6956.541666666667,7811
2004-01-17,5308,6176.541666666667,6963
2004-01-18,4805,5732.541666666667,6851
2004-01-19,5208,6685.833333333333,7874
2004-01-20,5435,6791.166666666667,7872
2004-01-21,5459,6774.458333333333,7865
2004-01-22,5239,6670.833333333333,7796
2004-01-23,5490,6748.375,7645
2004-01-24,5307,6220.333333333333,7128
2004-01-25,5258,6027.791666666667,6988
2004-01-26,5332,6980,8104
2004-01-27,5581,6843.958333333333,7752
2004-01-28,5254,6622.833333333333,7663
2004-01-29,5327,6713.5,7795
2004-01-30,5445,6749.375,7646
2004-01-31,5261,6044.958333333333,6820
2004-02-01,4923,5651.5,6581
2004-02-02,4989,6435.375,7470
2004-02-03,4993,6401.041666666667,7361
2004-02-04,4999,6410.541666666667,7501
2004-02-05,5165,6481.208333333333,7434
2004-02-06,5187,6376.791666666667,7123
2004-02-07,4834,5790.166666666667,6728
2004-02-08,5008,5763.833333333333,6727
2004-02-09,5056,6451.666666666667,7443
2004-02-10,5025,6395,7411
2004-02-11,5110,6416.291666666667,7388
2004-02-12,5067,6399.416666666667,7323
2004-02-13,5070,6287.333333333333,7079
2004-02-14,4883,5773.208333333333,6644
2004-02-15,4923,5743.833333333333,6673
2004-02-16,5130,6521.583333333333,7503
2004-02-17,5150,6394.125,7303
2004-02-18,5062,6327.583333333333,7279
2004-02-19,4930,6178.25,7080
2004-02-20,4812,6168.625,7040
2004-02-21,4656,5587.125,6404
2004-02-22,4510,5295.666666666667,6173
2004-02-23,4722,6159.916666666667,7158
2004-02-24,4972,6236.625,7159
2004-02-25,5027,6244.166666666667,7073
2004-02-26,4954,6170.625,7012
2004-02-27,4870,6005.333333333333,6631
2004-02-28,4612,5296.833333333333,5866
2004-02-29,4254,4996.333333333333,5861
2004-03-01,4406,5864.416666666667,6938
2004-03-02,4478,5894.333333333333,6915
2004-03-03,4561,5975.833333333333,6948
2004-03-04,4645,5995.708333333333,6914
2004-03-05,4660,5928.666666666667,6885
2004-03-06,4281,5305.708333333333,6122
2004-03-07,4304,5303.75,6300
2004-03-08,4676,6098.083333333333,7074
2004-03-09,4838,6124.125,6954
2004-03-10,4798,6041.791666666667,6856
2004-03-11,4721,6011.458333333333,6945
2004-03-12,4752,6130.916666666667,6975
2004-03-13,4829,5526.333333333333,6083
2004-03-14,4433,5310.291666666667,6117
2004-03-15,4648,6091.125,7005
2004-03-16,4879,6345.625,7285
2004-03-17,5098,6264.541666666667,7017
2004-03-18,4983,6154.958333333333,6922
2004-03-19,4894,5971.375,6649
2004-03-20,4511,5419.791666666667,6211
2004-03-21,4377,5301.958333333333,6286
2004-03-22,4822,6247.166666666667,7153
2004-03-23,4919,6156.208333333333,6952
2004-03-24,4790,6065.625,6918
2004-03-25,4571,5856.333333333333,6596
2004-03-26,4390,5723.25,6508
2004-03-27,4143,5038.833333333333,5662
2004-03-28,4010,4839.291666666667,5701
2004-03-29,4293,5615.583333333333,6482
2004-03-30,4293,5744.791666666667,6619
2004-03-31,4419,5830.208333333333,6700
2004-04-01,4494,5881.291666666667,6723
2004-04-02,4472,5797.916666666667,6574
2004-04-03,4257,5105,5743
2004-04-04,4221,5127,5995
2004-04-05,4644,6003.416666666667,6759
2004-04-06,4711,5868.125,6494
2004-04-07,4425,5754.208333333333,6503
2004-04-08,4517,5656.333333333333,6448
2004-04-09,4089,4613.25,5061
2004-04-10,3913,4696.708333333333,5196
2004-04-11,4012,4578.416666666667,5142
2004-04-12,4108,5466.458333333333,6228
2004-04-13,4434,5833.5,6590
2004-04-14,4439,5641.791666666667,6295
2004-04-15,4409,5620.666666666667,6326
2004-04-16,4361,5531.333333333333,6256
2004-04-17,4102,4929.5,5695
2004-04-18,3850,4738.583333333333,5358
2004-04-19,4079,5499.791666666667,6382
2004-04-20,4218,5485.125,6158
2004-04-21,4231,5570,6324
2004-04-22,4193,5521.958333333333,6258
2004-04-23,4193,5388.083333333333,6161
2004-04-24,4010,4746,5331
2004-04-25,3869,4851.166666666667,5522
2004-04-26,4108,5527.583333333333,6366
2004-04-27,4170,5568.583333333333,6300
2004-04-28,4402,5630.791666666667,6264
2004-04-29,4281,5596.458333333333,6344
