Roller Coaster,Year,Track,Designer,Height,Speed
Yukon Striker,2019,Steel,Bolliger & Mabillard,67.9704,130.356864
Leviathan,2012,Steel,Bolliger & Mabillard,93.2688,148.059648
Behemoth,2008,Steel,Bolliger & Mabillard,70.104,123.919488
Backlot Stunt Coaster,2005,Steel,Premier Rides,13.716000000000001,64.37376
Time Warp,2004,Steel,Zamperla,15.24,41.842944
Silver Streak,2001,Steel,Vekoma,15.8496,40.2336
The Fly,1999,Steel,Mack,16.4592,56.327040000000004
Taxi Jam,1998,Steel,"Miler Coaster, Inc.",2.4384,16.09344
Flight Deck,1995,Steel,Vekoma,32.004000000000005,80.4672
Vortex,1991,Steel,Arrow Dynamics,27.432000000000002,88.51392000000001
The Bat,1987,Steel,Vekoma International,38.1,80.4672
Ghoster Coaster,1981,Wood,"Curtis D. Summers, Philadelphia Toboggan Co.",12.192,56.327040000000004
Thunder Run,1981,Steel,"Mack, Blauer Enzian",10.0584,64.37376
Dragon Fire,1981,Steel,Arrow/Huss,26.5176,80.4672
Mighty Canadian Minebuster,1981,Wood,"Taft, Curtis D. Summers",31.3944,99.779328
Wild Beast,1981,Wood,"Taft, Curtis D. Summers",26.5176,90.123264
